building,bus stop,walking time (minutes)
Alice Cook House,9,4
AD White House,3,2
Africana Center,0,0
Academic Surge A,4,3
Anabel Taylor Hall,1,2
Bradfield Hall,4,1
Baker Laboratory,7,2
Becker House,9,3
Bloomberg Center,0,0
Bailey Hall,4,2
Bard Hall,1,4
Barnes Hall,2,4
Breazzano Family Ctr for BusEd,0,0
Biotechnology Building,4,3
Barton Hall,4,3
Caldwell Hall,4,5
Clark Hall,7,1
Corson & Mudd Halls,4,1
Comstock Hall,4,2
Carpenter Hall,1,1
Emerson Hall,5,4
Judith Eisner Pavilion,0,0
Fernow Hall,5,1
Green Greenhouse Bldg G,6,3
Goldwin Smith Hall,7,1
Guterman Bioclimatic Lab,6,13
Bill and Melinda Gates Hall,2,2
Human Ecology Building,7,8
Hughes Hall,1,2
Hollister Hall,1,1
Ives Hall,3,1
Johnson Museum Of Art,8,4
Klarman Hall,7,1
Kimball Hall,1,5
Kennedy Hall,4,1
Lincoln Hall,7,1
McGraw Hall,7,5
Milstein Hall,8,1
Malott Hall,4,2
Mann Library,4,4
Muenscher Laboratory,6,16
Morrill Hall,7,4
Morrison Hall,6,5
Myron Taylor Hall,1,2
M Van Rensselaer Hall,4,3
Olin Hall,1,1
Phillips Hall,2,1
Physical Sciences Building,7,5
Plant Science Building,4,3
Rockefeller Hall,7,5
Frank H T Rhodes Hall,2,4
Rand Hall,8,1
Robert Purcell Community Center,0,0
Riley-Robb Hall,6,3
Sibley Hall,8,1
Sage Chapel,3,3
Sage Hall,2,1
Snee Hall,1,3
Space Science Building,4,4
Stocking Hall,6,1
Statler Hall,2,1
Stimson Hall,3,1
Savage Hall,4,3
Schwartz Center,1,4
Thurston Hall,1,4
Tata Innovation Center,0,0
Toni Morrison Hall,0,0
Upson Hall,2,1
Uris Hall,3,1
White Hall,7,4
Weill Hall,5,1
Warren Hall,4,5
