Location Name,Location Formal Name,Location Scheduler,Location Scheduler Email,Max Capacity,X25 Assignable Area,Default Layout,Default Layout Capacity,Default Layout Image?,Always Shared?,Building,Partition,Latitude,Longitude,X25 Building,X25 Floor Number,X25 Owner Organization,X25 Room Use Code,Express Scheduling Enabled?,Express Scheduling Event Type,Express Scheduling Max. Duration,Default Instructions,Comments
ACH104,Alice H Cook House 104: Conference Room,"SCL Scheduling, West Campus Houses",west_house_sched@cornell.edu,12,269,As Is,12,No,No,,,42.448831,-76.489599,Alice H Cook House,1,Student and Campus Life-SCL,680,No,,,,
ACH106,Alice H Cook House 106: Seminar Room,"SCL Scheduling, West Campus Houses",west_house_sched@cornell.edu,20,500,As Is,20,Yes,No,,,42.448831,-76.489599,Alice H Cook House,,,110,No,,,,
ADW108,A D White House 108,"Viola, Kina",kv89@cornell.edu,65,792,As Is,65,Yes,No,,,42.448247,-76.481908,A D White House,1,Arts and Sci-AS,680,No,,,,
ADW108X,A D White House 108X,"Viola, Kina",kv89@cornell.edu,99,0,As Is,99,No,No,,,42.448247,-76.481908,A D White House,1,Arts and Sci-AS,,No,,,,
ADW109,A D White House 109,"Viola, Kina",kv89@cornell.edu,14,387,Instruction,14,Yes,No,,A D White House,42.448247,-76.481908,A D White House,,Arts and Sci-AS,110,No,,,,
ADW110,A D White House 110,"Viola, Kina",kv89@cornell.edu,20,590,Instruction,20,Yes,No,,A D White House,42.448247,-76.481908,A D White House,,Arts and Sci-AS,110,No,,,,
ADW201,A D White House 201,"Viola, Kina",kv89@cornell.edu,22,436,Instruction,22,No,No,,,42.448247,-76.481908,A D White House,,Arts and Sci-AS,110,No,,,,
ADW220,A D White House 220: Library,"Viola, Kina",kv89@cornell.edu,15,494,Instruction,15,No,No,,,42.448247,-76.481908,A D White House,,,410,No,,,,Added 5/24. Is GA in PS and not in 25L. Copied from ADW201; Grabbed data from R25 and FIS
ADWXLWN,A D White House XLWN Lawn,"Viola, Kina",kv89@cornell.edu,99,0,,0,No,No,,,0,0,,,,,No,,,,
AFC101,Africana Ctr 101,"O'Keefe, Erin",elo37@cornell.edu,15,630,Instruction,15,Yes,No,,,42.45721,-76.482316,Africana Ctr,,,110,No,,,,
